feature,importance
num__sem2_approval_rate,195
remainder__Tuition fees up to date,92
remainder__financial_risk_score,81
num__sem1_approval_rate,64
num__Curricular units 1st sem (enrolled),49
num__Age at enrollment,43
num__Previous qualification (grade),36
num__Curricular units 2nd sem (grade),32
num__Curricular units 1st sem (approved),27
num__Curricular units 2nd sem (approved),23
cat__Major_field_예술·디자인,11
cat__Father_education_level_중등교육 이하,7
num__Curricular units 1st sem (credited),6
num__Curricular units 1st sem (grade),5
num__grade_change,5
cat__Mother_occupation_group_전문·관리직,5
num__Curricular units 2nd sem (enrolled),4
remainder__Gender,3
num__Curricular units 2nd sem (evaluations),3
num__Admission grade,2
cat__Mother_occupation_group_무직·기타,2
remainder__Scholarship holder,1
cat__Mother_education_level_미상·기타,1
cat__Major_field_인문·사회,1
cat__Admission_pathway_직업·기술교육 연계전형,1
cat__Father_occupation_group_농림,1
num__Curricular units 2nd sem (credited),0
num__Curricular units 1st sem (evaluations),0
num__Application order,0
num__Curricular units 1st sem (without evaluations),0
cat__Marital status_3,0
cat__Marital status_1,0
cat__Marital status_4,0
cat__Admission_pathway_편입·전과,0
cat__Admission_pathway_특별전형,0
cat__Major_field_공학·IT,0
cat__Major_field_경영,0
cat__Major_field_공학·자연,0
cat__Major_field_교육,0
cat__Major_field_보건,0
num__Curricular units 2nd sem (without evaluations),0
cat__Marital status_6,0
cat__Admission_pathway_고등교육 이수자 전형,0
cat__Admission_pathway_성인학습자 전형,0
cat__Admission_pathway_기타·특수전형,0
cat__Admission_pathway_외국인·국제학생 전형,0
cat__Admission_pathway_일반전형,0
cat__Marital status_5,0
cat__Marital status_2,0
cat__Previous_education_level_Vocational,0
cat__Previous_education_level_Secondary,0
cat__Previous_education_level_Higher education experience,0
cat__Previous_education_level_Graduate,0
cat__Previous_education_level_Below secondary,0
cat__Previous_education_level_Bachelor,0
cat__Major_field_자연·농생명,0
cat__Major_field_사회,0
cat__Major_field_경영·서비스,0
cat__Father_education_level_고등학교,0
cat__Father_education_level_대학,0
cat__Mother_education_level_고등학교,0
cat__Mother_education_level_전문·직업교육,0
cat__Mother_education_level_중등교육 이하,0
cat__Mother_education_level_대학,0
cat__Mother_education_level_대학원,0
cat__Mother_occupation_group_사무·서비스,0
cat__Mother_occupation_group_농림,0
cat__Mother_occupation_group_기술·생산,0
cat__Father_education_level_전문·직업교육,0
cat__Father_education_level_대학원,0
cat__Father_education_level_미상·기타,0
cat__Father_occupation_group_기술·생산,0
cat__Father_occupation_group_무직·기타,0
remainder__Educational special needs,0
remainder__Displaced,0
cat__Father_occupation_group_전문·관리직,0
cat__Father_occupation_group_사무·서비스,0
remainder__Debtor,0
remainder__International,0
remainder__Daytime/evening attendance,0
remainder__zero_enrolled_1st_sem,0
